Row Number,Text,Semantic,Associated Words
405,The crusty dinner rolls ($1) are also tasty!,Positive,tasty
406,I'd probably go back - but would try to go earlier in the day.,Neutral,
407,This place is great.,Positive,great
408,"The poutine with chicken and sausage seems to be the most popular dish and it's solid, but the chicken is great on it's own or in a sandwich.",Positive,"solid, great"
409,The fries are very good on their own as well.,Positive,good
410,There is usually a line outside the door but it does move quickly.,Neutral,
411,Plenty of seating inside but it's self seating so you will just need to see what is open.,Neutral,
412,Baked goods like the pasteis de nata and other things are really good so don't miss out on those.,Positive,good
413,Great place to visit if you are in Montreal.,Positive,Great
414,Great place!!,Positive,Great
415,Very tasty food!,Positive,tasty
416,Good prices.,Positive,good
417,"Bad part, it is always crowded.",Negative,"Bad, crowded"
418,Go early or you will find 45 minutes of waiting.,Neutral,
419,"On the quest to find the best poutine in Montréal, we had to visit the highly recommended Ma Poule Mouillée.",Positive,"best, highly recommend, recommended"
420,"They specialize in Peruvian rotisserie chicken, and the platters themselves look amazing.",Positive,amazing
421,"But, the poutine was out of this world and such a run take on the Canadian classic dish.",Neutral,
422,"The chicken was perfectly succulent and crispy, and we loved the tangy hot sauce that topped it all.",Positive,"perfectly, crispy, loved"
423,"It's more of a takeout place, and was pretty crowded.",Negative,pretty crowded
424,"But, if you wait about 5 mins a table should open up.",Neutral,
425,Also can't leave Montreal without trying poutine!,Neutral,
426,Heard this place is better than La Banquise so stopped by for lunch.,Neutral,
427,"When you enter, you first place your order with one of the servers.",Neutral,
428,Then you make your way to the cashier area and pay when your order is ready.,Neutral,
429,There are several tables but this place is popular so plan for takeout if you come during the lunch rush.,Negative,
430,"The menu is entirely in French but if you're here for the poutine, which most people are, it's #8 on the menu and you have the option of ordering either the small or large size.",Neutral,
431,"Unless you come with a party of more than 5, would recommend getting the small because even that is a huge portion.",Positive,"would recommend, huge"
432,"We did see a group of teenagers order a small each, which had us worried because it's basically a heart attack on a plate.",Neutral,
433,"Very heavy, greasy, and salty.",Negative,"greasy, salty"
434,Something I would try once but probably not have again in the near future.,Neutral,
435,Sort of like the case with Chicago deep dish pizza haha.,Neutral,
436,I did enjoy the rotisserie chicken and cheese on top of the fries though but was not a fan of the chorizo because it was too hard and salty.,Negative,"hard, salty"
437,We love Portuguese chicken and we're excited to find one in Montreal.,Positive,love
438,It's cooked the classic way over fire and rotated.,Neutral,
439,We ordered a whole chicken what I thought was supposed to be small fries and a small salad but they were huge The chicken was tender.,Neutral,
440,And actually fed the two of us for a couple of days.,Neutral,
441,"There was a huge line around the corner, but someone suggested we call in the order and it was ready in 15 minutes so we didn't have to wait in line.",Neutral,
442,Highly recommend.,Positive,Highly recommend
443,Now I see why this place was recommended by everyone online of where to eat poutine in Montreal.,Positive,recommended
444,I got the small #8 ($14).,Neutral,
445,It was an enormous portion for a small and the container had to weigh more than 2 pounds.,Positive,enormous
446,The chicken had a pleasant grill taste to it in the cards along with the chorizo made for a perfect meal.,Positive,"pleasant, perfect"
447,The rich gravy was amazing and the french fries held up to it and all the toppings.,Positive,"rich, amazing"
448,"So many places online said this was the best poutine in Montreal, and it didn't disappoint!!",Positive,"best, didn't disappoint"
449,"I'm not the biggest poutine fan, but this was delicious.",Positive,delicious
450,It's like gravy and cheesy goodness with super tender chicken.,Positive,tender
451,There's also sausage on it for meat lovers.,Neutral,
452,Portion was huge for a petit size and it lasted me two meals.,Positive,huge
453,Service is rather fast.,Neutral,
454,You order in this line at the counter and can watch them make it.,Neutral,
455,"It is hard to find seating inside, but you can get your order to go or sit in.",Negative,hard to find
456,"The yummiest Portuguese grilled chicken in Montreal came with a load of fries and a fresh salad, especially the sauce.",Positive,fresh
457,"oh, Chorizo Sausage is so good too.",Positive,good
458,"got the #8 The place is small and very noisy, but they have some tables for dining in.",Neutral,
459,You need to wait in line for at least 20 minutes or more but Worth the wait.,Positive,Worth the wait
460,Food: 5/5    Service: 4/5  Atmosphere: 4/5,Neutral,
461,"Located in the Plateau Mont-Royal neighborhood of town, MA Poulle Mouillée is a very popular, no-frills spot that's as famous for it's insanely long lines and wait times as it is for their succulent Portuguese style chicken.",Negative,"long line, long lines, wait times"
462,"And while trying to get that aforementioned chicken can easily require standing in a line anywhere from 45 minutes to 90 minutes, most loyalists would say that it's absolutely worth the trouble and I would agree.",Neutral,
463,"Jean-Jacques Rousseau once said ""Patience is bitter, but its fruit is sweet"" and boy was he right.",Neutral,
464,The chicken coming out of this place is absolutely insane.,Neutral,
465,"It's full of flavor, it's moist and it is one of the bites of food I've had in a very long time.",Positive,moist
466,"Depending on what you order, the contents of your box might change a bit but I recommend you get the ""Le Tremblay"" option for $16CAD which features some chicken breast, a ton of fries and a side salad of greens with shaved carrots in a delicious vinaigrette.",Positive,"recommend, delicious"
467,"Don't share, just chow down in shame.",Neutral,
468,"It's greasy, it's tasty and full of flavor.",Neutral,
469,"If you're super hungry (you must be American - hi!) you can get other, larger options: ones with chorizo or even befana and while the first is scrumptious, the befana was nothing to write home about and ordering it isn't something I'd do again.",Neutral,
470,Honestly the Tremblay is plenty of food.,Neutral,
471,"Service wasn't particularly friendly or fast - but man, it just doesn't matter.",Negative,
472,Just get in line and you'll be rewarded with a Portuguese feast which shines some spotlight on a cultural piece of Montreal that few other places can showcase as well.,Neutral,
473,A+,Neutral,
474,A must go-to spot whenever I'm visiting Montreal.,Neutral,
475,"This small no-frills dining joint specializes in fresh and tasty roasted Portuguese chicken, and it is always done excellently.",Positive,"fresh, tasty"
476,"The portions are always huge for the price (one is enough for two meals honestly), and the chicken is super moist, juicy, and tender.",Positive,"huge, moist, juicy, tender"
477,"Their poutine is also amazing, one of my favourites in Montreal.",Positive,amazing
478,"Service is curt, but you're here for the food and it comes out fast.",Neutral,
479,There's limited tables/seating available on the inside and sometimes a line to get in during the busier season.,Negative,limited
480,Definitely recommend adding this spot to your Montreal foodie itinerary.,Positive,recommend
481,"What a wonderful surprise, my wife I just walked in without knowing anything about this restaurant and enjoyed a wonderful meal....my grandson would love it here.",Positive,love
482,Exceeded my expectations!,Neutral,
483,We were visiting from California and don't speak French (google translate is very helpful for the menu!).,Positive,helpful
484,The woman helping us was very kind and helpful with any questions I had.,Positive,helpful
485,We ordered the half chicken with fries and salad and everything was so delicious!!!,Neutral,
486,The chicken was so good and tender.,Positive,good
487,I'm still thinking about this meal!,Neutral,
488,"I have a sensitive stomach (mainly sensitive to dairy) and I did end up with a slight stomach ache afterward so I'm thinking there may be some sort of dairy in the sauce or something, but honestly worth it!",Positive,worth it
489,Definitely a MUST TRY,Neutral,
490,Large portions.,Neutral,
491,I was expecting more flavor in the chicken.,Neutral,
492,"Spicy was not spicy, mild at best.",Positive,best
493,Good to be a potato farmer in Canada.,Positive,good
494,The side of fries was nauseating.,Neutral,
495,Some parts of the chicken were chewy from being dried out.,Neutral,
496,Order at counter.,Neutral,
497,Quick service.,Neutral,
498,Definitely had a fast food vibe in terms of ambience.,Neutral,
499,I won't be craving this anytime soon.,Neutral,
500,Why is is so hard to order???,Negative,hard
501,As an American trying to get some poutine here it was so difficult.,Negative,difficult
502,Their menu didn't even look like there was poutine on it so we didn't know how to order and when we asked they were so stuck up so we ended up not even getting the poutine and just chicken and fries.,Neutral,
503,But even so the portion was more like fries with a side of chicken.,Neutral,
504,They are absolutely not friendly to Americans at all because they were already giving us snarky looks when we were literally just trying our best to figure out how to order.,Neutral,
505,"I understand that we may come off as ""annoying"" but like help us out here.",Neutral,
506,Overall the food we got was OKAY.,Neutral,
507,Nothing special whatsoever.,Neutral,
508,Felt like regular chicken and fries to me.,Neutral,
509,Insanely delicious!,Positive,delicious
510,Some of the best food I had in Montreal.,Positive,best
511,Don't be deterred by the line -- it moves fast.,Positive,moves fast
512,They give you a TON of food: we made the mistake of ordering a large poutine in addition to our meals but a small would have been so much more than enough.,Neutral,
513,The chicken is tender and so flavorful.,Positive,"tender, flavorful"
514,"The poutine is really special; covered with Portuguese chicken, chorizo, and gravy.",Neutral,
515,And the chicken sandwich was also delicious.,Positive,delicious
516,Come here if you're in Montreal!,Neutral,
517,Just order less food then you think,Neutral,
518,Yummy dishes.,Neutral,
519,I have been here 3 times and ordered different things.,Neutral,
520,Each hit the spot and was satisfying.,Neutral,
521,Thanks to the chef for doing a good job.,Positive,good
522,The staff took my special instructions and it showed in the result.,Neutral,
523,This Portuguese chicken is amazing.,Positive,amazing
524,It's a must try if Montreal.,Neutral,
525,The line can be very long and seating inside is limited.,Negative,limited
526,Worth the wait though as the chicken is very flavorful.,Positive,"Worth the wait, flavorful"
527,You can see them making it fresh as you step up to order.,Positive,fresh
528,Half chicken comes with fries and salad.,Neutral,
529,Good portion size,Positive,good
530,"My friend and I were stuck in Montreal and were recommended by a Canadian friend to go try some ""well-known"" poutine.",Positive,recommended
531,"I've never been a fan of poutine in the States, but fully acknowledge I've probably never had high-quality poutine.",Neutral,
532,We read the reviews for this shop and fully expected the long wait.,Negative,long wait
533,"Service was fast and NOT rude (we read many reviews saying they were rude), and we made sure to grab some egg tarts on the way out the door.",Neutral,
534,We ordered the #8 poutine half size and did not regret it.,Neutral,
535,"Overall, the poutine was incredibly savory - would highly recommend getting a salad or soda to cut the salt.",Positive,highly recommend
536,Each item in the poutine was quality!,Neutral,
537,"Fries were crisp (not soggy under the gravy), gravy had a nice flavor, chicken was moist and the skin was a nice touch, and cheese curds were tasty with a nice chew and flavor.",Positive,"nice, moist, tasty"
538,"Very busy inside on a Sunday afternoon, most folks order and grab takeout.",Neutral,
539,Lots of families too.,Neutral,
540,"Friend's Review: ""The chicken was the best thing.",Positive,best
541,"Just go and get the chicken.""",Neutral,
542,The line is long but it moves fast!,Positive,moves fast
543,I had to let a couple people pass me because I was still taking in the menu and the ordering system.,Neutral,
544,"You basically get in line and order while youre moving along, then pay once you reach the register.",Neutral,
545,"I got a small #8 (came with cheese, chorizo and the portuguese chicken) as well as one portguese tart.",Neutral,
546,The tart was cold but divine flaky goodness.,Negative,cold
547,"The poutine, while a small size, is probably enough for 2-3 people to split.",Neutral,
548,My favorite part was the crispiness and the flavorful chicken.,Positive,"favorite, flavorful"
549,"There are a couple of tables in the area across the street, as well as a park you can take your poutine to eat in if you dont opt to dine inside.",Neutral,
550,"With all the rave, I was really excited to try this for one of my dinner meals.",Neutral,
551,"We went at 8pm and yes, there is a long line around the corner.",Negative,long line
552,"And yes, it did moved fast.",Neutral,
553,We waited 30 mins.,Neutral,
554,The order system is very chaotic.,Neutral,
555,"First a lady approached you and you tell them your order,  then a second lady comes to you while the line moves towards the register, you tell her your order again shouting on top of your lungs through this opening on the glass.",Neutral,
556,"She packs your order, put it on top of a tray, and then to the register to pay.",Neutral,
557,"But by that time, you really lost track, which is your order, and you have to repeat your order over again.",Neutral,
558,"It got really confusing, the yelling, the language barrier at least for a first timer.",Negative,confusing
559,"The food, chicken was only ok.",Neutral,
560,It's not as moist as expected.,Negative,
561,"Actually, dry.",Negative,dry
562,The rave about poutine was too salty and overwhelming.,Negative,too salty
563,$3.50 for the Salad was a  fancy little salad.,Neutral,
564,It's got the nice vingarette dressing.,Positive,nice
565,I loved my salad.,Positive,loved
566,Came the desert.,Neutral,
567,The Portuguese egg tart was not what excepted.,Neutral,
568,The filling is not a cream but a custard cake like texture.,Neutral,
569,"Nevertheless, it's not that sweet and love the texture of the crust.",Positive,love
570,"Lastly, I also got a flan.",Neutral,
571,"It was overly sweet, and the texture is not consistently smooth.",Neutral,
572,I am glad I waited to try what the rave is about.,Positive,glad
573,"Otherwise, I wouldn't get to write this review.",Neutral,
574,For the food and service was OK.,Neutral,
575,Probably won't go back for the second time.,Neutral,
576,There's  lots of hype on social media posted about Ma Poule Mouillee and I was excited to try it.,Neutral,
577,I was a bit skeptical if it would actually live up to its name.,Neutral,
578,Goodness I was pleasantly surprised to find that this was indeed a very moist fire roasted Portuguese chicken.,Positive,moist
579,I am always reluctant to order chicken in an establishment as it's oftentimes dry and overcooked.,Negative,"dry, overcooked"
580,"In my opinion condiments and sauces should enhance what you are eating, not be a necessary addition to revive your dish.",Neutral,
581,"If you arrive during peak dining hours, be prepared to wait on a line that extends outside of the eatery.",Neutral,
582,It does go quick though cause  the staff behind the counters are efficient like well oiled machinery.,Neutral,
583,"I ordered a half chicken with fries and salad, two orders of a chicken quarter which also came with the same sides as well as a large poutine with chicken, chorizo, cheese curds and gravy.",Neutral,
584,You are also asked if you'd like a mild or spicy sauce which they top onto your chicken.,Neutral,
585,"For my after dinner goodie, I got traditional flan, coconut flan as well as a cream cannoli for good measure.",Positive,good
586,They had a nice selection of Portuguese desserts and breads.,Positive,nice
587,"Additionally I saw two types of flan, and Portuguese egg tarts as well as typical French goodies yum!",Neutral,
588,Entrees are packed in to go boxes as well as your side salads.,Neutral,
589,That is a bonus as I do not like my cold mixed salad greens in vinaigrette touching my hot food.,Positive,
590,The portions here are generous and you more than likely will take your leftovers to go.,Positive,generous
591,There is decent indoor seating for this cozy establishment.,Positive,cozy
592,"Although every seat was taken, by the time I placed my order I was able to secure a table.",Neutral,
593,"Be aware that if you are a serious condiment lover, such as myself they do not give you more than one or two tiny cups per entree.",Neutral,
594,When I asked for another small portion of their house made sauce the lady at the counter charged me a dollar.,Neutral,
595,Not sure that is the case for everyone though cause there were plenty others asking for extra.,Neutral,
596,I am guessing it depends on who is at the checkout counter?,Neutral,
597,All in all it was a nice experience and the chicken was very memorable especially the chicken chorizo poutine which they are known for.,Positive,nice
598,I would eat there again for sure.,Neutral,
599,BEST POUTINE IN MONTREAL.,Positive,BEST
600,Hands down this was bomb and there is a reason why there is such a long lineup that goes around the restaurant.,Negative,long line
601,#8 Bon les portugals font de la poutine ($18) ~ SOOO GOOOD the chorizo was so flavourful and delicious with their roast chicken.,Positive,"flavourful, delicious"
602,The cheese was perfectly melted and the gravy was so flavorful with the crispy fries.,Positive,"perfectly, flavorful, crispy"
603,The cheese pull was insane and sooo good.,Positive,good
604,Probably the best poutine ive ever had and 10/10 would come back just for this.,Positive,best
605,It was good and delicious.,Positive,good
606,Perfect for sharing as well.,Positive,Perfect
607,They roast the chicken fresh and daily and it makes the poutine 10x better.,Positive,fresh
608,Overall a place I highly recommend because of how good it is.,Positive,good
609,I always visit here whenever I'm in Montreal!,Neutral,
610,Love their portugese chicken and their portugese tart!,Positive,Love
611,Got their #8.,Neutral,
612,"Bon, Les Portugais Font De La Poutine (Poutine with Chicken and Chorizo) and their #1 Le Tony Alves (whole chicken) Portions were massive, and their chicken is seriously top notch!",Neutral,
613,Love how well the flavours work with the poutine.,Positive,Love
614,Definitely recommend getting a drink to go with your meal since it can get a little salty near the end.,Neutral,
615,But superb chicken!,Neutral,
616,A warm and filling meal for the soul.,Neutral,
617,"No frills order and grab your food at the counter spot, expect a line around the corner.",Neutral,
618,It'll be about a 20-30min wait.,Neutral,
619,"Their poutine is topped with cheese curds chicken and chorizo - a large is more than enough for 3-4 people to share, it's filling and heavy.",Neutral,
620,The whole chicken is a bit salty and so are the fries/ chicken chorizo combo.,Negative,salty
621,Nice to try once while you're in the area!,Positive,Nice
622,"Their egg tarts are yummy but are served cold, they taste much better warmed up in the oven - they're sold for $2 a piece or $10 for 6",Negative,cold
623,"Huge portions, did not expect the large to be that big.",Positive,Huge
624,Grabbed the poutine and their egg tart to try.,Neutral,
625,"The poutine was really good, maybe the best one I've had so far but it did get a bit tiring towards the end.",Positive,good
626,I find that the sauce was a bit too much.,Neutral,
627,"I liked the chicken, it was juicy and had lots of flavour but the gravy overpowered it.",Positive,juicy
628,"I enjoyed the egg tart, it was nice and creamy.",Positive,nice
629,"I came to Montreal during restaurant week and out of all of the delicious meals I had during my stay, this one stood out above the rest.",Positive,delicious
630,"I had seen a picture online of the fish that I wanted, a #8, which is a rotisserie chicken and chorizo poutine, I opted for ""hot"" (more piquant) sauce as well.",Neutral,
631,I opted for the small size as I wanted to eat a lot more that day and I'm honestly glad I did.,Positive,glad
632,"I can eat a lot of food but the amount that they packed into that small, aluminum container nearly had me bursting at the gills; cheese curds are no joke!",Neutral,
633,"This was one of those meals where you take a bite and are immediately in another world, where nothing else matters, and all you want to do is keep eating.",Neutral,
634,"At first, I was devouring my meal but as it quickly started to disappear, I knew I had to savour it and make this moment last as long as I could.",Neutral,
635,"The inside, though small, had comfortable seating, with plenty of views of the surrounding neighborhood.",Neutral,
636,"Though I thought this place would be touristy, I was eating with locals and construction workers.",Neutral,
637,"Sitting there eating, I felt like I knew a secret that other travelers did not.",Neutral,
638,"For dessert, I got two pasteis de natas to really still down that Portuguese flavor.",Neutral,
639,Do yourself a favor and come here.,Neutral,
640,I am honestly kicking myself that I didn't make it here twice during my four day stay.,Neutral,
641,"Wow, first time trying poutine and I'm glad I came here to try it.",Positive,glad
642,Everything was in french but I managed to order poutine with everything on it.,Neutral,
643,It was a delicious surprise and it surpassed many disco fries I've had in the US.,Positive,delicious
644,The place is small and busy but the line moves quickly.,Positive,moves quickly
645,There is not alot of seating so maybe ask for it to go if you don't find any.,Neutral,
646,Not too much seating in this restaurant but the food is absolutely amazing!,Positive,amazing
647,I wished we had another day to go back and get more chicken!,Neutral,
648,"We stopped here because of the somebody feed Phil episode and true to what was said in the episode, the chicken is so juicy and flavorful, it's delicious.",Positive,"juicy, flavorful, delicious"
649,We were able to order in English and the lady behind the counter gave us suggestions on what to get.,Neutral,
650,Nothing was disappointing.,Negative,disappointing
651,The Portuguese tarts were all very delicious as well.,Positive,delicious
652,Salads were fresh.,Positive,fresh
653,"This does seem to be more of either a take out or eat quickly then leave, not necessarily a nice sit down dinner place.",Negative,
654,Definitely in the list to come back here when I visit.,Neutral,
655,Best chicken ever!!!,Positive,Best
656,OMG The French fries!!!,Neutral,
657,Were awesome!,Positive,awesome
658,The service is Great!,Positive,Great
659,The ambiance excellent!,Positive,excellent
660,A lot of people but the guys inside the kitchen work very hard and fast   So everyone gets their favorites and enjoy!,Negative,hard
661,I always recommend Ma Poule for their poutine!,Positive,recommend
662,Their poutine is loaded and there's a hefty amount of protein from the grilled chicken and chorizo.,Neutral,
663,"Their portions are huge, so a small could fill you up, but a large makes it easily shareable.",Neutral,
664,Their Portuguese roast chicken is also very worth trying!,Neutral,
665,You can opt for a whole or half chicken.,Neutral,
666,The serving sizes here are pretty big.,Neutral,
667,"Most of it comes with a side of fries and salad, but you can also just opt for the chicken alone.",Neutral,
668,It's super tender and juicy!,Positive,"tender, juicy"
669,"A very good post workout meal There might be a long line sometimes, but it moves rather quickly and the staffs working their hardest.",Positive,good
670,There's ample indoor seating.,Neutral,
671,You won't be allocated any seating.,Neutral,
672,"It's more of a cafeteria styled establishment, but I notice a lot of people eating outside as well.",Neutral,
673,"If you're looking for a delicious poutine to have and share with multiple friends, look no further.",Positive,delicious
674,We shared the petite poutine size between two people.,Neutral,
675,"If we were hungry and wanting that as a meal, it would still be very filling.",Neutral,
676,The fries remained crisp and were clearly freshly fried.,Neutral,
677,The gravy and cheese curds hit the spot.,Neutral,
678,They also have many other great options with their freshly cooked chicken and a small bakery.,Positive,great
679,The service was quick and the tables in the corner allow for quick seating to enjoy your meal and watch the park scenery outdoors.,Neutral,
680,A great place to stop by for anyone who enjoys poutine.,Positive,great
681,Been to MPM a few more times since my original review so I decided an update was in order.,Neutral,
682,It's a great spot to grab food and head over to Parc Lafontaine.,Positive,great
683,We dropped in on a Sunday afternoon (around 2:00pm) and it was busy.,Neutral,
684,We lucked out and snagged two tables at their patio outside.,Neutral,
685,The menu is up on the walls; the menu du jour is a nice change up.,Positive,nice
686,"They had three options (calamari, mixed combo, beef brochette and salmon).",Neutral,
687,Trip #1 - Combo mixte ($14.00) - such a good deal.,Positive,good
688,"You get a salad, fries and meat; chicken (two thighs and a drumstick), pork chops and sausage.",Neutral,
689,I have no idea how you can finish this alone but it's perfect for sharing.,Positive,perfect
690,"Pork chops were incredibly tender, sausage had a nice bit of heat and the chicken was moist.",Positive,"tender, nice, moist"
691,Get it piquant (spicy!).,Neutral,
692,- 4x Natas ($1.50) - still as good and creamy as last time.,Positive,good
693,Totally hit the spot.,Neutral,
694,Trip #2 - Tony alves (#1) ($15.00) - whole chicken.,Neutral,
695,We got it spicy.,Neutral,
696,"A little greasy but overall, pretty good.",Positive,good
697,- Grilled calamari ($15.00) - this took forever to come out and it was a really small portion.,Neutral,
698,Quite oily but not bad.,Positive,
699,Probably not worth the price point.,Negative,not worth
700,Stick with the chicken.,Neutral,
701,- A salada matilde (#10) ($9.00 large) - we got a large salad without the chicken.,Neutral,
702,The best part was the homemade honey Dijon salad.,Positive,best
703,"- Bon, les Portugais font de la poutine ($14.00 large) - poutine with São Jorge cheese, chicken and grilled sausage.",Neutral,
704,This was the best out of three poutines we ate (the other two were from La Banquise).,Positive,best
705,"Good fries, good cheese and tender meats.",Positive,good
706,A small ($9.00) is more than enough.,Neutral,
707,- 2x Le p'tit talbot (#5) ($6.00) - chicken sandwich for my cousin's road trip home.,Neutral,
708,- J'adore mon choriço (#7) ($12.00) - an entire grilled sausage.,Neutral,
709,They put spicy sauce on this as well.,Neutral,
710,Good flavour and well spiced.,Positive,good
711,- Pain grand-mère ($4.00 for 12) - my aunt bought a dozen Portuguese buns for home.,Neutral,
712,"- Natas ($1.50), coconut tart ($1.50), peach tart ($2.30) and almond tart ($2.30) - had to get my nata fix in!",Neutral,
713,Still so good and creamy.,Positive,good
714,Other tarts hit the spot.,Neutral,
715,Always come back to MPM to satisfy my Portuguese cravings.,Neutral,
716,I had a difficult time figuring out which Portuguese place to hit up with my limited time in Montreal.,Negative,"difficult, limited"
717,"Should I go to good 'ol reliable, favourite Romados or try one of the new players in town?",Positive,good
718,"After much debate, I decided to check out Ma Pouille Mouillée as I kept on reading so many great things about them.",Positive,great
719,"Located across the street from La Banquise, the inside is actually quite spacious.",Neutral,
720,Several tables to sit at but be like everyone else and take it to Parc Lafontaine for an impromptu picnic.,Neutral,
721,Hours are bomb.,Neutral,
722,Everyday open early and late till 10:00pm!,Neutral,
723,The menu is up on the wall and prices already includes all the taxes!,Neutral,
724,Stand in line and order.,Neutral,
725,It's like an assembly line.,Neutral,
726,"As you make your way down, the till is at the end where you can grab drinks and desserts.",Neutral,
727,- Le Louis Cyr (#2) ($11.00) - half a chicken with fries and salad.,Neutral,
728,Portion size is huge!,Positive,huge
729,A mountainous amount of fries and chicken.,Neutral,
730,I should mention that I attempted to eat all this by myself - don't try this at home folks.,Neutral,
731,Slather on the spicy sauce.,Neutral,
732,"Chicken was flavourful, tender and moist for the most part.",Positive,"flavourful, tender, moist"
733,Couple pieces of white meat that were too dry.,Negative,too dry
734,The salad was great and the vinaigrette was addictively delicious - Natas ($1.50) - natas are in the back near the counter so don't forget to order one.,Positive,"great, delicious"
735,"Man, I miss good natas.",Positive,good
736,This one was superb.,Neutral,
737,"Perfect amount of sweetness, flaky and slightly torched.",Positive,Perfect
738,"Make sure you go to at least one of the many, many Portuguese places while you're in town.",Neutral,
739,"Glad we ""chickened out"" and tried Ma Poule Mouillée.",Positive,Glad
740,"With a fun shop name, this is now among the most popular Portuguese chicken rotisseries in Montréal.",Neutral,
741,"Despite no lineup in the mid-afternoon, it was still quite packed with happy diners & folks ordering takeout.",Positive,happy
742,A whiff of aroma came from the rotisserie as it turned open whole chickens in unison.,Neutral,
743,Staff at the counter happily processed food orders.,Neutral,
744,"For takeout, I had their famous poutine with Sãn Jorge cheese, chorizo & grilled chicken.",Neutral,
745,"At the pastry display, I couldn't help but try their Portuguese egg tarts (natas).",Neutral,
746,A collective assembly of the shop's best offerings!,Positive,best
747,Egg tarts were loaded with sweet doughy custard and a crackly crust composed of flaky layers.,Neutral,
748,The packed poutine was oozing from the container with toppings.,Neutral,
749,"Its pulled chicken was moist with seasoned slow-cooked grill flavour, which was more noticeable than the chorizo slices.",Neutral,
750,"It blended well in melted cheeses, gravy & spicy sauce over the fries.",Neutral,
751,I noticed the saltiness of Quebec food along with its bold flavours.,Positive,bold
752,"For $12, it's amazing that the ""small"" poutine was enough for two meals.",Positive,amazing
753,Bravo to the owner Tony for turning his passion for Portuguese chicken into one of the most popular cheap eat-outs in town.,Positive,cheap
754,"Ma Poule Mouillée, can you expand to the US?",Neutral,
755,We need restaurants like this.,Neutral,
756,We ordered poutine and it was one of the best poutines I ever had.,Neutral,
757,"The chicken was moist, the cheese curds were plenty, and the gravy soaked in the fries was so delicious.",Positive,"moist, delicious"
758,Everything just works for this dish perfectly.,Positive,perfectly
759,"I came to Ma Poule Mouillée for dinner a while ago and got Number 8: Bon, Les Portugais Font De La Poutine, Petit.",Neutral,
760,The rotisserie chicken in the poutine was excellent.,Positive,excellent
761,"It had nice flavour, quality bits and pieces of chicken, good fries, gravy, and cheese, and everything was good together.",Positive,good
762,It was also an extremely high value meal and the food is enough for two people.,Neutral,
763,This is a must try stop in Montreal and I'd give it 9.3/10,Neutral,
764,"I came here for dinner recently and got Number 8: Bon, Les Portugais Font De La Poutine, Petit.",Neutral,
765,The rotisserie chicken in the poutine was excellent.,Positive,excellent
766,"It had nice flavour, quality bits and pieces of chicken, good fries, gravy, and cheese, and everything was good together.",Positive,good
767,It was also an extremely high value meal as it only cost $11 and I only finished ~half in one meal.,Neutral,
768,"Took forever but was soooo good definitely recommend the poutine and the bakery section, cappuccino was so yummy",Positive,good
769,No parking and there is a line up great food - worth the 45 minute drive .,Positive,great
770,The staff is really friendly .,Positive,friendly
771,The place is small and priced reasonably.,Neutral,
772,The chicken is amazing.,Positive,amazing
773,This one of the best places in Montreal for Portuguese chicken .,Positive,best
774,They have amazing fries.,Positive,amazing
775,There Peri peri sauce is to die for They only thing is it hard to get a table so prepared for take out.,Negative,hard
776,This is a real winner,Neutral,
777,I ordered the poutine and the chicken with fries.,Neutral,
778,"The poutine was well seasoned, lots of gravy and was a good price for the portion.",Positive,good
779,But the other meal -- it was dry and lacked flavour.,Negative,"dry, lacked flavour"
780,"I ended up going back to the restaurant to ask for some extra gravy and hot sauce, which made it better but it was more of a Poule Sechée than Poule Mouillée.",Neutral,
781,"Overall, I probably won't come back because I've had better but it's definitely not a bad spot, just not for me.",Positive,
782,"When I am in Montreal, I eat...and eat...and eat....I try as many restaurants as I can, sometimes, just a small sample of each...just so I can savor the particular flavors....",Neutral,
783,I had heard about this chicken place and I needed to try it.,Neutral,
784,"It's a casual place with a funky menu, so you can pick a meal by the ""name"".",Neutral,
785,"Opened to the public since July 29, 2013, Ma Poule Mouillée is a great casual restaurant on Le Plateau Mont-Royal.",Positive,great
786,"The history goes like this.....from a young age, Chief Tony Alves was working with his uncle who had a restaurant.",Neutral,
787,From that moment he permeated every movement his uncle baker made and learned every he could.,Neutral,
788,"With a dream and a clear idea in mind, Tony Alves did not hesitate a second to open his own restaurant.",Neutral,
789,"From then on, chef Alves learned to conceive a very special spicy sauce.",Neutral,
790,"For, as the chef says, it is the sauce that makes the difference, because everyone is able to grill a chicken.",Neutral,
791,I really enjoyed this delicious Portuguese chicken roasted on charcoal.,Positive,delicious
792,"Super duper long lines at both lunch and dinner, try to get there early!",Negative,"long line, long lines"
793,"Line moves fairly quickly, it's just a bummer to wait in the heat or rain, bring a bottle of water or umbrella Very simple and casual interior.",Neutral,
794,One large table to seat 6 and the rest are bar seating around the perimeter.,Neutral,
795,"Try to decide on your meal while in line, the staff taking your order don't speak much English so you'll need to give them a number.",Neutral,
796,You can customize your order with a bunch of sides.,Neutral,
797,I highly recommend the potatoes over the fries.,Positive,highly recommend
798,They are LEGIT.,Neutral,
799,"The roast chicken was solid, like a fancy pollo loco.",Positive,solid
800,The hot sauce is a $1 but is worth it for that extra kick.,Positive,worth it
801,"It's not very hot, just adds some nice flavor.",Positive,nice
802,Honestly the best poutine i had in Montreal.,Positive,best
803,Chicken js so flavorful and the addition of portuguese sauce is on point.,Positive,flavorful
804,Natas were great too.,Positive,great
805,I miss this already.,Neutral,
